is_baseline_formation,swelling_severity,PC1,PC2,PC3,PC4,cycles_to_50_pct,cycles_to_60_pct,cycles_to_70_pct,cycles_to_80_pct
0,3,27.90506449,-0.139613877,-11.34151141,-4.46038213,496,478,461,385
0,1,-87.50135928936872,-7.570479132698413,-1.4529869782794242,-8.06454915283259,530,657,527,451
0,0,51.52503015479787,3.285209437494081,-3.2502437497012666,0.4893600379471542,573,611,665,429
1,0,-98.87597938,-3.00360285,-5.538850072,-8.465275441,419,408,362,336
0,3,168.9464117494412,-4.758354530480219,-12.704125662799042,-6.932283723313877,551,535,559,449
1,0,-144.03290338695336,13.766986518295978,8.060130219153628,-2.28189910166792,363,410,433,366
1,1,-224.9128006299455,23.731893920697004,0.1387157359313453,-11.388266667794706,447,372,490,380
0,3,8.632608478533939,-5.82320219970876,-8.09004956080008,5.615912432682834,527,615,656,452
1,0,-292.33294088973264,3.333517122587623,-9.374346544923892,-2.8964580374797593,373,366,346,269
1,0,-99.62295833,-2.523835477,13.41693388,-1.064819072,405,400,381,333
1,0,-271.6651689140998,7.601471386948724,-14.689935367140917,4.118631102017183,466,310,400,344
0,3,55.23794588607328,-4.530926499848476,-12.415090249578059,11.493678501900114,551,557,606,457
0,3,144.31359949533146,-7.457322709321963,-16.37924574336712,13.553919627011267,593,621,657,470
1,0,-124.97232188534804,34.243316726784904,8.613020419854417,-5.156778790773852,501,553,438,359
0,0,235.7148349,23.65404953,14.68633416,-8.712998748,612,602,590,480
1,1,-72.37136967,23.0713878,1.793307001,8.049395804,430,422,405,355
0,3,63.32754367,-17.42778919,10.26521511,-1.246389269,506,496,479,396
1,0,-216.5291287755585,10.444462089710523,6.2789821890268245,0.8432388687324186,357,472,402,378
0,1,116.76080912826897,10.233649250841365,-15.245821536807185,-11.099046454700154,465,585,521,452
1,0,-145.8191067,12.28556435,0.139447774,9.003172265,389,381,363,315
0,1,-29.343114834656983,10.266003168930258,9.950955116733876,-1.818960222972726,499,656,582,390
0,3,-5.929142787189482,-23.809058588131702,-4.781789598887105,12.304941155163649,605,621,678,472
1,1,-81.86051957,0.507349299,-9.406288388,-6.178021747,432,421,378,339
0,3,-77.23924327320827,5.95274092049048,-24.650010129845388,6.093833249248463,547,528,557,392
1,1,34.56494688,20.9243366,-7.950795136,-5.635808868,520,498,455,386
0,1,126.0251806,5.845645487,-7.759041413,-3.723323484,562,553,520,411
1,0,-179.87457340357557,-0.6055265048067967,7.879300182544211,4.1244553484289055,382,546,513,349
0,3,138.41148070157965,4.697195255339375,-18.739431496296806,12.421599503469906,555,661,576,450
0,3,-6.492337968061036,-15.348675140396061,0.1782129236173382,13.667510663380735,561,553,659,456
0,3,-29.086303981171824,18.98648025792211,-8.511458870680778,-4.555941829310718,640,631,656,490
0,3,253.4393273957871,4.778394848377736,-15.505820891889586,9.821349618750219,533,481,618,458
1,0,-163.82478980575766,8.168151706231125,-2.5224891997420853,1.0079851577844159,416,449,379,389
1,0,-309.1004876612028,24.523089905611855,-1.9301697772665452,-6.675409910946757,404,484,370,437
0,3,3.2464019944895344,-17.900675436712575,-6.982233767209883,3.3311063215831007,602,598,585,461
0,1,-195.02661682189623,6.762617108736121,-15.388385519699964,-7.265255152525072,595,603,472,425
1,0,-300.12778169107804,21.721283762513504,6.116584434628033,9.407097091215222,394,484,376,305
0,1,13.073211279520265,9.016454576848467,-11.647990941515674,9.43817130008253,550,611,550,428
0,3,84.00136672,-13.41028172,-11.35089181,-0.43801042,538,522,481,398
0,1,107.59486361995963,-7.386714063772031,-6.680750231759625,8.228938040692734,558,648,452,399
0,3,57.863959017862186,15.911701322471119,-8.769541933427965,2.9321147603674143,613,595,634,432
1,1,-141.28554125711165,29.31470548510482,-13.789321720557222,-15.289376973845455,538,597,438,368
0,1,-59.39385874792012,-13.102279477130631,-17.76282242080294,-6.898235137881598,564,460,577,394
0,3,59.3318946,-17.69247127,2.255161933,5.086551963,500,488,468,406
0,0,16.44172627,-22.72019657,8.574863584,-8.815974105,477,465,441,382
0,3,80.03860214993551,-9.719525026925812,-22.86173895624119,4.810041809652047,449,517,413,430
1,0,-192.98991067134295,18.78506244536814,-8.22185566713825,-10.602701311838656,433,477,503,288
0,0,-170.61393722178695,19.681594204584975,5.566864720637102,-3.051389973301131,355,524,340,384
0,0,6.8970435130964445,-18.941565478309332,-8.1851427727344,-3.251777977945096,495,494,505,404
0,3,-180.4225127061883,18.94846696602412,-12.830624290771949,11.106869923062527,539,631,507,407
0,1,4.157570289677202,-6.298841903718089,7.48221009048536,-1.748564013322841,599,581,561,469
1,0,-256.72125206787223,10.805662889474728,-12.12511175996684,2.400525767578698,424,476,405,306
0,3,-105.73461894706179,-5.560907302700052,-13.738296426626901,16.855324648734157,507,650,529,445
0,3,127.0189376,0.017323539,-5.625238711,5.649633185,554,542,522,423
0,3,180.14358071550888,-10.136235045547636,-6.7990557620618866,6.315605060413768,580,610,636,434
1,3,-173.27728216111362,20.40773921982086,-0.1523994280971273,-0.7274526790811668,352,529,495,344
1,0,-305.7625684454025,9.58933924667714,-4.415453033465139,-1.9056853775508187,394,442,292,317
1,0,-207.60580511484372,24.523380249343624,0.33622423345344093,2.7894905359757916,345,531,440,396
1,0,-116.8977798,6.409424986,11.35342408,2.595029858,400,391,373,328
1,0,-361.48944488110953,24.998384147159587,4.589862372566071,-2.516295671727592,351,433,372,417
0,3,97.96161373652053,-38.60625453471791,-9.798272021503488,6.995722119372122,611,508,590,464
0,3,-17.86707677,-10.76926,-3.279405293,11.77878618,460,448,437,361
1,0,-97.93086242421539,22.09101243899828,5.626583331622375,-1.8101047938058419,350,526,442,424
0,1,12.516770312935302,1.4372213663070454,-7.324892795652845,17.758427014693638,536,635,694,488
1,0,-179.80795614783335,14.038797935721536,12.049948571559696,-6.321222536950398,451,466,377,324
1,0,-342.50455499947884,9.45686797825674,2.248270294301422,-7.000275508134797,405,473,298,368
0,3,-11.929639904710417,22.025157201655908,-12.972717707713311,9.040350991351838,571,627,610,463
1,0,-149.1297519,0.028200413,-2.075101423,-2.558736221,401,368,338,314
0,3,91.3638719487016,14.57443554162884,-20.13070251038452,7.183603201837181,564,527,591,398
1,0,-267.1731174821279,-2.3243088982357074,-5.267177891652063,-0.6524117018412953,403,443,423,305
0,1,118.39484195243838,24.468947786518,7.667249942321297,15.281428109010104,571,629,589,434
1,1,-204.33820904898963,4.983083685834948,-8.933933759658071,6.0316052361475565,347,406,446,310
0,3,-138.566252545007,4.1108588983121885,2.6708667137413755,13.012842777627123,486,447,575,429
0,3,-173.97090625676594,5.411020069978497,-1.1432990428254928,-6.147825587816307,539,543,517,439
0,3,106.9872777,-1.773197857,0.781553487,17.32114624,537,523,514,412
1,0,-98.87423126,-3.283033177,1.060882646,-8.183975992,412,402,362,340
0,3,41.61861335227297,16.06180747915592,-12.905554140585524,10.628652069040568,547,630,609,461
1,1,-98.42922904614053,42.62903059832653,-18.5020718080423,-8.960330523760572,615,595,594,379
0,3,-65.13147772069598,4.475921502604977,-13.193878843660874,9.07244526597487,507,561,649,421
0,3,51.062513617299814,-1.5383410412930612,-11.892095084325929,10.335083014145232,622,670,624,472
